indicator,type,topic,description,response,year,respondent_group,sample_size,result,format
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,35-44 years,237,18.0,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,45-54 years,121,42.4,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,Female,885,30.3,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,South Wharf / Southbank 3006,167,30.3,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,45-54 years,120,29.3,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,55-64 years,118,25.0,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,65+ years,131,29.0,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,Male,582,20.8,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,City of Melbourne,1480,20.4,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,Docklands 3008,123,22.1,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,East Melbourne 3002,90,20.9,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,Kensington / Flemington 3031,120,22.6,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,Parkville 3052,95,18.2,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,122,7.2,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,18-24 years,417,25.1,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,25-34 years,473,19.6,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,45-54 years,122,4.6,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,Carlton 3053,176,17.8,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,North Melbourne 3051 / West Melbourne 3003,242,13.1,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,South Wharf / Southbank 3006,169,15.2,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,18-24 years,417,86.7,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,55-64 years,118,48.4,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,Male,588,91.1,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,Carlton 3053,176,80.1,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,East Melbourne 3002,91,57.6,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,65+ years,129,80.0,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,Carlton 3053,162,93.0,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,City of Melbourne,1425,95.3,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,Docklands 3008,117,95.3,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,Melbourne 3000,334,93.2,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,Parkville 3052,93,95.1,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,35-44 years,238,57.9,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,45-54 years,122,66.9,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,55-64 years,118,52.9,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,Male,588,56.2,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,City of Melbourne,1508,60.0,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,East Melbourne 3002,91,63.9,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,South Wharf / Southbank 3006,169,58.0,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,60.3,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,35-44 years,238,14.7,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,55-64 years,118,0.4,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,Female,897,8.6,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,City of Melbourne,1508,8.9,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,South Wharf / Southbank 3006,169,7.6,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,8.6,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,Female,897,61.7,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,Kensington / Flemington 3031,121,63.3,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,Parkville 3052,96,75.3,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,63.7,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,45-54 years,122,52.8,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,55-64 years,118,45.4,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,Kensington / Flemington 3031,121,51.6,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,North Melbourne 3051 / West Melbourne 3003,242,51.7,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,35-44 years,238,18.6,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,Female,897,16.4,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,City of Melbourne,1508,20.8,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,Kensington / Flemington 3031,121,22.4,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,45-54 years,122,8.2,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,55-64 years,118,6.2,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,4.7,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,35-44 years,238,9.9,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,55-64 years,118,10.1,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,Male,588,14.6,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,North Melbourne 3051 / West Melbourne 3003,242,12.7,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,Parkville 3052,96,15.6,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,South Wharf / Southbank 3006,169,5.7,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,10.0,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,City of Melbourne,1508,49.5,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,25-34 years,473,39.7,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,35-44 years,238,40.9,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,Female,897,36.0,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,Male,588,47.4,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,Docklands 3008,125,43.1,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,East Melbourne 3002,91,65.5,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,51.7,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,55-64 years,118,51.1,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,Female,897,36.8,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,Melbourne 3000,363,34.1,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,North Melbourne 3051 / West Melbourne 3003,242,44.6,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,Parkville 3052,96,34.0,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,55-64 years,118,12.6,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,East Melbourne 3002,91,9.8,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,South Wharf / Southbank 3006,169,25.4,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,19.5,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,35-44 years,237,14.7,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,City of Melbourne,1493,21.5,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,18-24 years,407,27.4,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,25-34 years,469,14.8,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,35-44 years,237,11.0,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,Carlton 3053,171,21.6,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,City of Melbourne,1490,16.1,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,East Melbourne 3002,90,7.8,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,Kensington / Flemington 3031,120,5.1,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,Melbourne 3000,361,18.7,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,North Melbourne 3051 / West Melbourne 3003,238,19.7,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,124,10.1,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,35-44 years,238,7.5,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,45-54 years,121,10.2,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,Carlton 3053,172,14.6,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,Melbourne 3000,358,14.8,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,35-44 years,238,6.1,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,65+ years,133,1.9,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,Male,588,10.0,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,East Melbourne 3002,91,4.4,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,South Wharf / Southbank 3006,169,9.0,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,1.1,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,18-24 years,414,84.1,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,35-44 years,236,90.3,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,55-64 years,117,94.2,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,City of Melbourne,1499,86.3,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,Docklands 3008,124,90.0,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,65+ years,127,82.7,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,Female,876,47.5,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,Carlton 3053,173,60.0,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,City of Melbourne,1482,58.7,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,Melbourne 3000,355,54.4,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,North Melbourne 3051 / West Melbourne 3003,237,46.5,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,South Wharf / Southbank 3006,168,63.4,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,Docklands 3008,120,82.4,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,South Wharf / Southbank 3006,160,81.4,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,25-34 years,441,52.4,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,35-44 years,201,52.6,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,Female,763,38.7,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,City of Melbourne,1311,50.6,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,Docklands 3008,112,55.9,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,96,54.9,Per cent
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,45-54 years,121,73.6,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,65+ years,121,73.5,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,Female,865,71.7,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,Carlton 3053,170,71.3,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,City of Melbourne,1444,72.0,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,Melbourne 3000,351,70.8,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,North Melbourne 3051 / West Melbourne 3003,235,69.9,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,Parkville 3052,93,74.0,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,South Wharf / Southbank 3006,163,72.5,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,35-44 years,229,75.8,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,55-64 years,112,82.9,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,East Melbourne 3002,86,85.1,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,Melbourne 3000,351,74.4,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,45-54 years,121,75.0,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,65+ years,121,71.1,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,Docklands 3008,116,73.0,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,Melbourne 3000,351,72.7,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,North Melbourne 3051 / West Melbourne 3003,235,70.6,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,116,70.5,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,Male,558,69.8,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,Carlton 3053,170,70.2,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,Docklands 3008,116,71.4,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,East Melbourne 3002,86,78.9,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,North Melbourne 3051 / West Melbourne 3003,235,67.7,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,Parkville 3052,93,71.6,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,18-24 years,397,70.5,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,25-34 years,458,73.5,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,45-54 years,121,74.2,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,Female,865,73.6,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,Male,558,72.9,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,City of Melbourne,1444,73.3,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,East Melbourne 3002,86,82.5,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,Melbourne 3000,351,72.5,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,South Wharf / Southbank 3006,163,76.4,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,116,72.9,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,55-64 years,112,83.4,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,65+ years,121,79.7,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,Carlton 3053,170,77.6,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,East Melbourne 3002,86,83.8,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,South Wharf / Southbank 3006,163,80.7,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,35-44 years,229,67.7,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,65+ years,121,60.3,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,Docklands 3008,116,64.1,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,North Melbourne 3051 / West Melbourne 3003,235,63.3,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,25-34 years,458,66.3,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,35-44 years,229,67.0,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,55-64 years,112,74.2,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,65+ years,121,74.3,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,45-54 years,122,73.0,Average
